symbol,gene_id,organism,gene_name,NCBI_DB,gene_full_name
NP_414711.1,947874,Escherichia,rpsB,protein,"ribosomal protein S2 rpsB"
NP_417780.1,947816,Escherichia,rpsJ,protein,"ribosomal protein S10 rpsJ"
NP_418411.1,948483,Escherichia,rplA,protein,"50S ribosomal subunit protein L1"
NP_417774.1,947813,Escherichia,rplV,protein,"50S ribosomal subunit protein L22"
NP_417778.1,947818,Escherichia,rplD,protein,"50S ribosomal subunit protein L4"
NP_417776.1,947820,Escherichia,rplB,protein,"50S ribosomal subunit protein L2"
NP_417697.1,949000,Escherichia,rpsI,protein,"30S ribosomal subunit protein S9"
NP_417779.1,947817,Escherichia,rplC,protein,"50S ribosomal subunit protein L3"
NP_417769.1,947809,Escherichia,rplN,protein,"50S ribosomal subunit protein L14"
NP_417762.1,947795,Escherichia,rpsE,protein,"30S ribosomal subunit protein S5"
NP_417775.1,947811,Escherichia,rpsS,protein,"30S ribosomal subunit protein S19"
NP_417800.1,947846,Escherichia,rpsG,protein,"30S ribosomal subunit protein S7"
NP_417772.1,947806,Escherichia,rplP,protein,"50S ribosomal subunit protein L16"
NP_417757.1,947791,Escherichia,rpsM,protein,"30S ribosomal subunit protein S13"
NP_417760.1,947798,Escherichia,rplO,protein,"50S ribosomal subunit protein L15"
NP_416690.1,945618,Escherichia,rplY,protein,"50S ribosomal subunit protein L25"
NP_417764.1,947803,Escherichia,rplF,protein,"50S ribosomal subunit protein L6"
NP_418410.1,948484,Escherichia,rplK,protein,"50S ribosomal subunit protein L11"
NP_417767.1,947800,Escherichia,rplE,protein,"50S ribosomal subunit protein L5"
NP_417801.1,947845,Escherichia,rpsL,protein,"30S ribosomal subunit protein S12"
NP_417771.1,947807,Escherichia,rpmC,protein,"50S ribosomal subunit protein L29"
NP_417773.1,947814,Escherichia,rpsC,protein,"30S ribosomal subunit protein S3"
NP_417756.1,947792,Escherichia,rpsK,protein,"30S ribosomal subunit protein S11"
NP_418412.1,948490,Escherichia,rplJ,protein,"50S ribosomal subunit protein L10"
NP_417765.1,947802,Escherichia,rpsH,protein,"30S ribosomal subunit protein S8"
NP_417763.1,947804,Escherichia,rplR,protein,"50S ribosomal subunit protein L18"
NP_417634.1,947686,Escherichia,rpsO,protein,"30S ribosomal subunit protein S15"
NP_417770.1,947808,Escherichia,rpsQ,protein,"30S ribosomal subunit protein S17"
NP_417698.1,947828,Escherichia,rplM,protein,"50S ribosomal subunit protein L13"
NP_417768.1,947810,Escherichia,rplX,protein,"50S ribosomal subunit protein L24"
NP_415431.1,945536,Escherichia,rpsA,protein,"30S ribosomal subunit protein S1"
NP_417635.1,947687,Escherichia,truB,protein,"tRNA pseudouridine synthase"
NP_417637.1,947684,Escherichia,infB,protein,"translation initiation factor IF-2 beta"
NP_416228.1,945382,Escherichia,pheT,protein,"phenylalanyl-tRNA ligase subunit beta"
NP_416229.1,946223,Escherichia,pheS,protein,"phenylalanyl-tRNA ligase subunit alpha"
YP_026260.1,947759,Escherichia,hemC,protein,"Porphobilinogen deaminase"
NP_414725.1,944852,Escherichia,rnhB,protein,"ribonuclease HII"
