contig,run,gene,diagnosis,read_count,length,mapped,unmapped,net_mapped,length_right,average_depth
None,ERR011265,NP_417778.1,nonIBD,11684574,0.0,0.0,0.0,0.0,0.0,0.0
k119_3900_3,SRR2145375,NP_417635.1,nonIBD,13713609,930.0,74.0,18.0,56.0,930.0,7.64
None,SRR6468714,NP_417762.1,UC,10753164,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011173,YP_026260.1,nonIBD,12373439,0.0,0.0,0.0,0.0,0.0,0.0
k119_67485_2,SRR6468634,NP_417780.1,UC,16121658,312.0,34.0,10.0,24.0,312.0,8.99
k119_35424_7,SRR1765389,NP_417760.1,nonIBD,3417267,360.0,19.0,5.0,14.0,360.0,5.05
k119_2625_25,SRR2145467,NP_417756.1,CD,12269020,390.0,603.0,141.0,462.0,390.0,129.24
k119_31186_19,SRR1757110,NP_416690.1,nonIBD,3926417,285.0,58.0,14.0,44.0,285.0,18.25
None,SRR1765202,NP_417780.1,CD,3873039,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011101,NP_417779.1,nonIBD,14822431,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212273,NP_417779.1,nonIBD,2222496,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765487,NP_417776.1,CD,3097900,0.0,0.0,0.0,0.0,0.0,0.0
k119_43053_4,SRR1765558,NP_417800.1,nonIBD,3430949,471.0,40.0,4.0,36.0,471.0,7.85
k119_12684_1,SRR6468619,NP_417698.1,CD,64414703,429.0,652.0,93.0,559.0,429.0,129.01
k119_17075_30,SRR6468619,NP_417698.1,CD,64414703,429.0,830.0,117.0,713.0,429.0,170.65
None,SRR1765179,NP_417769.1,CD,4032323,0.0,0.0,0.0,0.0,0.0,0.0
k119_2556_1,SRR1765393,NP_417772.1,CD,1251954,315.0,13.0,5.0,8.0,315.0,3.53
k119_22379_3,SRR6468502,NP_415431.1,CD,17099647,1674.0,210.0,12.0,198.0,1674.0,11.99
k119_18579_2,SRR1765586,NP_417769.1,CD,1561657,279.0,20.0,2.0,18.0,279.0,6.48
None,SRR1216305,NP_417770.1,CD,3678946,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215634,NP_417763.1,CD,3236807,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765078,NP_417776.1,CD,4043365,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011340,NP_417760.1,nonIBD,12135447,0.0,0.0,0.0,0.0,0.0,0.0
k119_58431_3,SRR6468591,NP_417800.1,CD,20784271,471.0,4828.0,357.0,4471.0,471.0,892.7
None,ERR011095,NP_417771.1,nonIBD,10813609,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765437,NP_416690.1,CD,3079732,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1211157,NP_417771.1,CD,4028773,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1765653,NP_417778.1,CD,2956965,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468588,NP_417762.1,UC,15638748,0.0,0.0,0.0,0.0,0.0,0.0
k79_42701_17,ERR011153,NP_417765.1,nonIBD,7848441,399.0,82.0,62.0,20.0,399.0,14.2
None,ERR011213,NP_417763.1,nonIBD,13478904,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011286,NP_417774.1,UC,8705935,0.0,0.0,0.0,0.0,0.0,0.0
k119_28052_3,SRR1765354,NP_417779.1,CD,3408822,645.0,55.0,5.0,50.0,645.0,7.85
None,SRR1212308,NP_417698.1,CD,3275443,0.0,0.0,0.0,0.0,0.0,0.0
k119_57305_1,SRR5650053,NP_415431.1,nonIBD,14061226,1074.0,41.0,3.0,38.0,1074.0,3.65
k119_36402_5,SRR5650053,NP_415431.1,nonIBD,14061226,1809.0,677.0,63.0,614.0,1809.0,33.77
k119_2625_13,SRR2145467,NP_417768.1,CD,12269020,315.0,400.0,85.0,315.0,315.0,105.51
k119_9399_1,SRR2145467,NP_417768.1,CD,12269020,408.0,90.0,21.0,69.0,408.0,16.28
None,SRR6468515,NP_414725.1,UC,17568250,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR6468535,NP_417697.1,UC,5639050,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1215950,NP_417780.1,CD,4447156,0.0,0.0,0.0,0.0,0.0,0.0
k119_26149_2,SRR5650121,NP_417763.1,CD,8641492,369.0,17.0,13.0,4.0,369.0,3.86
k119_34613_11,SRR6468523,NP_417760.1,nonIBD,67086552,441.0,65.0,5.0,60.0,441.0,13.12
k119_169294_24,SRR6468523,NP_417760.1,nonIBD,67086552,447.0,119.0,15.0,104.0,447.0,24.54
k119_6812_3,SRR2145299,NP_414711.1,CD,22581430,726.0,221.0,51.0,170.0,726.0,25.56
k119_8840_1,SRR2145516,NP_417635.1,CD,6398310,336.0,9.0,7.0,2.0,336.0,2.6
k119_3932_10,SRR2145516,NP_417635.1,CD,6398310,894.0,132.0,40.0,92.0,894.0,13.88
k119_37174_160,SRR6468609,NP_416228.1,CD,20614079,2388.0,1211.0,15.0,1196.0,2388.0,47.08
k119_37623_98,SRR6468609,NP_416228.1,CD,20614079,2433.0,1397.0,7.0,1390.0,2433.0,53.88
k119_33307_5,SRR6468609,NP_416228.1,CD,20614079,2436.0,3461.0,32.0,3429.0,2436.0,130.45
None,SRR6468679,NP_417774.1,nonIBD,17638299,0.0,0.0,0.0,0.0,0.0,0.0
None,SRR1212667,NP_414725.1,CD,3871451,0.0,0.0,0.0,0.0,0.0,0.0
k119_35879_371,SRR6468662,NP_416690.1,CD,68895802,288.0,92.0,19.0,73.0,288.0,26.86
None,SRR1765179,NP_417757.1,CD,4032323,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011237,NP_417764.1,nonIBD,11960764,0.0,0.0,0.0,0.0,0.0,0.0
k119_11507_3,SRR1765192,NP_418412.1,CD,3137578,531.0,54.0,8.0,46.0,531.0,9.39
None,ERR011139,NP_417635.1,nonIBD,11001825,0.0,0.0,0.0,0.0,0.0,0.0
None,ERR011177,NP_417762.1,nonIBD,12519425,0.0,0.0,0.0,0.0,0.0,0.0
k79_41243_3,ERR011192,NP_416229.1,nonIBD,10771537,1110.0,311.0,9.0,302.0,1110.0,20.4
None,SRR6468710,YP_026260.1,UC,9321498,0.0,0.0,0.0,0.0,0.0,0.0
